"COUNTY","NAME","YEAR","h1b_activity","win_rate","shannon_index","hhi"
"37071","Gaston County, North Carolina",2016,1,0.0845070422535211,4.54021299227764,203.690338483852
"37071","Gaston County, North Carolina",2017,1,0.0845070422535211,4.44248358592065,212.476352256701
"37071","Gaston County, North Carolina",2018,1,0.0845070422535211,4.43841057771824,213.859133235315
"37071","Gaston County, North Carolina",2019,1,0.0845070422535211,4.43818844407469,212.677318772513
"37071","Gaston County, North Carolina",2020,1,0.0845070422535211,4.42288935580549,216.102367495213
"37071","Gaston County, North Carolina",2021,1,0.0845070422535211,4.43889817385099,210.138093940972
"37071","Gaston County, North Carolina",2022,1,0.0845070422535211,4.44533494092136,207.921298322034
"37081","Guilford County, North Carolina",2012,1,1.03448275862069,4.70942112581143,151.742772321314
"37081","Guilford County, North Carolina",2013,1,1.03448275862069,4.70492574393934,152.330511490852
"37081","Guilford County, North Carolina",2014,1,1.03448275862069,4.70139838970161,152.752815669328
"37081","Guilford County, North Carolina",2015,1,1.03448275862069,4.69890748740484,153.582165218607
"37081","Guilford County, North Carolina",2016,1,1.03448275862069,4.69385388192916,154.546244497661
"37081","Guilford County, North Carolina",2017,1,1.03448275862069,4.65845160498615,157.604908527553
"37081","Guilford County, North Carolina",2018,1,1.03448275862069,4.6451980523514,157.955916774969
"37081","Guilford County, North Carolina",2019,1,1.03448275862069,4.63562141379232,160.923079213464
"37081","Guilford County, North Carolina",2020,1,1.03448275862069,4.63212925512267,159.910613520792
"37081","Guilford County, North Carolina",2021,1,1.03448275862069,4.6385925369949,159.90748327991
"37081","Guilford County, North Carolina",2022,1,1.03448275862069,4.62878073273777,162.419853470131
"37097","Iredell County, North Carolina",2012,1,0.65,4.65224077039902,163.268456125428
"37097","Iredell County, North Carolina",2013,1,0.65,4.64021492706051,166.689799013951
"37097","Iredell County, North Carolina",2014,1,0.65,4.64135353613359,164.690812312859
"37097","Iredell County, North Carolina",2015,1,0.65,4.62474402984829,167.18819326347
"37097","Iredell County, North Carolina",2016,1,0.65,4.61482060634941,169.293669069863
"37097","Iredell County, North Carolina",2017,1,0.65,4.55835064222789,169.883658368568
"37097","Iredell County, North Carolina",2018,1,0.65,4.56250103643202,168.605379361554
"37097","Iredell County, North Carolina",2019,1,0.65,4.54602615114808,171.135111858733
"37097","Iredell County, North Carolina",2020,1,0.65,4.53725860091123,173.609846514048
"37097","Iredell County, North Carolina",2021,1,0.65,4.51839848316417,174.517867867354
"37097","Iredell County, North Carolina",2022,1,0.65,4.52801080688268,175.289163150291
"37101","Johnston County, North Carolina",2012,1,0.347826086956522,4.46197524673837,196.857581909235
"37101","Johnston County, North Carolina",2013,1,0.347826086956522,4.44278199295816,204.701567924144
"37101","Johnston County, North Carolina",2014,1,0.347826086956522,4.44923104582371,202.054041950662
"37101","Johnston County, North Carolina",2015,1,0.347826086956522,4.44231419067112,201.732159924979
"37101","Johnston County, North Carolina",2016,1,0.347826086956522,4.43284990901363,203.581034793582
"37101","Johnston County, North Carolina",2017,1,0.347826086956522,4.30388307506051,218.141239657425
"37101","Johnston County, North Carolina",2018,1,0.347826086956522,4.27774731641447,226.393420412623
"37101","Johnston County, North Carolina",2019,1,0.347826086956522,4.28155139047487,227.28306112011
"37101","Johnston County, North Carolina",2020,1,0.347826086956522,4.27188785356762,231.43093956532
"37101","Johnston County, North Carolina",2021,1,0.347826086956522,4.28188258066551,232.376295407138
"37101","Johnston County, North Carolina",2022,1,0.347826086956522,4.27240266601581,233.98072998696
"37119","Mecklenburg County, North Carolina",2012,1,0.41025641025641,4.64090492244929,156.169934775631
"37119","Mecklenburg County, North Carolina",2013,1,0.41025641025641,4.63443843091578,157.146907884761
"37119","Mecklenburg County, North Carolina",2014,1,0.41025641025641,4.62385967006034,158.967871672509
"37119","Mecklenburg County, North Carolina",2015,1,0.41025641025641,4.61451990738918,159.914697430644
"37119","Mecklenburg County, North Carolina",2016,1,0.41025641025641,4.60451721240286,162.017201070818
"37119","Mecklenburg County, North Carolina",2017,1,0.41025641025641,4.57627720337546,167.012228004632
"37119","Mecklenburg County, North Carolina",2018,1,0.41025641025641,4.56061972679425,169.958263411328
"37119","Mecklenburg County, North Carolina",2019,1,0.41025641025641,4.54755431014058,172.62173614797
"37119","Mecklenburg County, North Carolina",2020,1,0.41025641025641,4.53875824367724,174.199019762438
"37119","Mecklenburg County, North Carolina",2021,1,0.41025641025641,4.52599831284527,176.27782730375
"37119","Mecklenburg County, North Carolina",2022,1,0.41025641025641,4.52085498270008,178.217748952915
"37129","New Hanover County, North Carolina",2012,1,0.58974358974359,4.56943140978855,175.472382332517
